1,56,67,65
2,76,54,83
3,84,68,62
4,66,51,60
5,69,97,69
6,75,92,81
7,81,56,59
8,50,65,76
9,73,83,86
10,58,84,90
11,91,83,70
12,89,66,61
13,60,74,79
14,72,94,75
15,74,66,61
16,93,63,98
17,69,90,68
18,73,57,100
19,99,53,97
20,93,89,85
1,95,79,89
2,77,89,72
3,57,51,53
4,77,69,65
5,65,64,73
6,66,77,61
7,60,71,79
8,54,74,68
9,86,99,61
10,86,78,87
11,79,97,93
12,65,57,65
13,80,61,63
14,71,63,73
15,95,65,77
16,92,57,61
17,96,51,59
18,69,67,54
19,91,83,85
20,99,81,86
1,68,94,63
2,64,53,74
3,64,57,79
4,62,79,76
5,77,64,67
6,92,58,84
7,61,54,75
8,96,51,59
9,56,87,78
10,67,67,82
11,82,93,94
12,86,77,51
13,100,74,62
14,50,80,77
15,95,87,98
16,60,63,70
17,64,62,86
18,60,56,53
19,100,80,85
20,90,74,72
